"Name","pitcher_id","Total","AB","blank","CH","CU","EP","FA","FC","FF","FO","FS","FT","IN","KC","KN","PO","SC","SI","SL","UN"
"Frasor, Jason",430630,2241,0,0,0.186523873270861,0,0,0,0,0.632307005800982,0,0,0.00267737617135207,0.0129406514948684,0,0,0,0,0,0.165551093261937,0
"Burnett, Sean",430634,178,0,0,0.0393258426966292,0,0,0,0,0.0224719101123595,0,0,0,0,0,0,0,0,0.752808988764045,0.185393258426966,0
"Boyer, Blaine",430641,1567,0,0,0.00701978302488832,0.0931716656030632,0,0,0,0.408423739629866,0,0,0.251435864709636,0.00829610721123165,0,0,0.000638162093171666,0,0,0.231014677728143,0
"McGowan, Dustin",430661,2329,0,0,0.0893087161872048,0.0060111635895234,0,0,0,0.440961786174324,0,0,0.243881494203521,0.0051524259338772,0,0,0,0,0,0.21468441391155,0
"Ramirez, Ramon",430673,127,0,0,0.283464566929134,0,0,0,0,0.37007874015748,0,0,0,0,0,0,0,0,0,0.346456692913386,0
"Henn, Sean",430675,57,0,0,0.0701754385964912,0,0,0,0,0.56140350877193,0,0,0,0,0,0,0,0,0,0.368421052631579,0
"Germano, Justin",430683,155,0,0,0.161290322580645,0.174193548387097,0,0,0.0129032258064516,0.0516129032258065,0,0,0,0.0258064516129032,0,0,0,0,0.541935483870968,0.032258064516129,0
"Crain, Jesse",430884,669,0,0,0.0597907324364723,0.159940209267564,0,0,0,0.472346786248132,0,0,0,0.00149476831091181,0,0,0,0,0,0.306427503736921,0
"Maholm, Paul",430904,3663,0,0,0.152334152334152,0.112749112749113,0.0131040131040131,0,0.127218127218127,0.135408135408135,0,0,0.34971334971335,0.00600600600600601,0,0,0,0,0,0.103467103467103,0
"Aardsma, David",430911,1216,0,0,0,0,0,0,0,0.631578947368421,0,0.0764802631578947,0.00164473684210526,0.0296052631578947,0,0,0.00164473684210526,0,0,0.259046052631579,0
"Cain, Matt",430912,5345,0,0,0.136014967259121,0.11955098222638,0,0,0,0.356033676333022,0,0,0.135827876520112,0.00224508886810103,0,0,0.000748362956033676,0,0,0.249579045837231,0
"Hamels, Cole",430935,9879,0,0,0.23808077740662,0.0961635793096467,0,0,0.122380807774066,0.458143536795222,0,0,0.0821945541046665,0.00303674460977832,0,0,0,0,0,0,0
"Kazmir, Scott",431148,8664,0,0,0.167705447830102,0.0397045244690674,0,0,0.0414358264081256,0.0504385964912281,0,0,0.342797783933518,0.000923361034164358,0,0,0,0,0.208795013850416,0.14819944598338,0
"Stauffer, Tim",431162,2588,0,0,0.168856259659969,0.0699381761978362,0,0,0,0.254636785162287,0,0,0.28323029366306,0.00850077279752705,0,0,0.00115919629057187,0,0,0.213678516228748,0
"Young, Chris",432934,4700,0,0,0.0461702127659574,0.0048936170212766,0,0,0,0.627021276595745,0,0,0,0.00106382978723404,0,0,0.00170212765957447,0,0,0.319148936170213,0
"Danks, John",433579,8413,0,0,0.279210745275169,0.0994888862474742,0,0,0.164863901105432,0.316058480922382,0,0,0.138713895162249,0.000950909307024843,0,0,0.000713181980268632,0,0,0,0
